شناسه,عنوان,دسته,روستا,روستا_مطمئن,متراژ_بنا,اتاق_خواب,ظرفیت_پایه,ظرفیت_حداکثر,امتیاز_کلی,تعداد_نظرات,جکوزی,استخر,حیاط_محصور,ویو_جنگل,ویو_رودخانه,دربست,حداقل_شب,هزینه_نفر_اضافه,قیمت_دوشب_وسط_هفته,وضعیت_قیمت_وسط_هفته,قیمت_دوشب_آخر_هفته,وضعیت_قیمت_آخر_هفته,روز_بسته_30d,نرخ_روز_بسته_30d,success_books,عمر_ماه,عمر_مبنا,کتاب_بر_ماه,پلاس,جدید,رزرو_فوری,وضعیت_API
3146451,کلبه چوبی دوبلکس در بابلکنار - نزدیک مرزیکلا,main,مرزیکلا,1,60,1,2,4,4.7,235,0,0,0,1,0,0,1,300000,2800000,استخراج شد,3200000,استخراج شد,7,0.226,500,86.7,db_est,5.77,1,0,1,active
3148363,کلبه جنگلی بالکن دار در بابلکنار - نزدیک مرزیکلا,main,مرزیکلا,1,42,1,2,4,4.4,216,0,0,0,1,0,0,1,300000,2600000,استخراج شد,3000000,استخراج شد,7,0.226,500,83.7,db_est,5.97,0,0,1,active
3149747,کلبه دوبلکس در سیدکلا بابلکنار,main,سیدکلا,1,56,1,5,5,4.5,28,0,0,1,0,0,0,1,0,5000000,استخراج شد,7000000,استخراج شد,3,0.097,50,32.2,db_est,1.55,0,0,1,active
3151473,کلبه چوبی و جنگلی در بابلکنار - تیرکن,main,تیرکن,1,70,1,5,7,4.9,45,0,0,1,0,0,1,1,500000,6000000,استخراج شد,7600000,استخراج شد,2,0.065,50,64.0,db_est,0.78,1,0,0,active
3151648,کلبه جنگلی در بابلکنار با ویو زیبا - کاردرکلا,main,کاردرکلا,1,50,1,3,4,4.7,155,0,0,1,1,0,0,1,300000,4000000,استخراج شد,,شب اول بسته,4,0.129,300,75.6,db_est,3.97,0,0,0,active
3152855,کلبه چوبی با جکوزی در بابلکنار - نزدیک مرزیکلا,main,مرزیکلا,1,50,0,2,2,4.8,137,1,0,0,1,0,0,1,0,4000000,استخراج شد,5000000,استخراج شد,7,0.226,300,73.8,db_est,4.07,1,0,0,active
3153216,کلبه جنگلی استخردار در کاردکلا بابلکنار - کلبه ۲,main,کاردرکلا,1,75,1,3,6,4.8,32,0,1,1,0,0,1,1,700000,9000000,استخراج شد,10600000,استخراج شد,4,0.129,50,46.4,db_est,1.08,1,0,0,active
3153254,کلبه جنگلی نزدیک لفور - افراسی,main,لفور,1,70,1,5,8,4.3,51,0,0,0,1,0,0,1,950000,7900000,استخراج شد,8900000,استخراج شد,0,0.0,100,72.4,first_review,1.38,0,0,0,active
3154396,کلبه چوبی جکوزی دار در بابلکنار,main,شیردارکلا,1,70,0,4,5,4.7,29,1,0,1,1,0,0,1,800000,10560000,استخراج شد,15960000,استخراج شد,5,0.161,20,32.4,db_est,0.62,0,0,0,active
3157431,کلبه چوبی جنگلی در بابلکنار - نزدیک مرزیکلا,main,مرزیکلا,1,30,0,2,3,4.7,285,0,0,0,1,0,0,1,300000,2600000,استخراج شد,3000000,استخراج شد,7,0.226,600,63.0,db_est,9.52,1,0,1,active
3161999,رزرو کلبه چوبی دوبلکس در بابلکنار - گونه کلا,main,گونه کلا,1,80,1,6,6,4.5,5,1,0,1,0,1,1,1,1000000,7360000,استخراج شد,,شب اول بسته؛ شب دوم بسته,9,0.29,5,25.2,db_est,0.2,0,0,0,active
3162290,رزرو کلبه جنگلی در بابلکنار - جاجن,main,بابلکنار,0,60,1,2,4,5.0,2,0,0,1,1,0,0,1,500000,2410000,استخراج شد,3125000,استخراج شد,2,0.065,5,29.1,db_est,0.17,0,0,0,active
3164126,منزل مبله در لفور سوادکوه,main,لفور,1,150,3,4,18,4.9,96,0,0,1,0,0,0,1,600000,,شب اول بسته؛ شب دوم بسته,,شب اول بسته؛ شب دوم بسته,12,0.387,100,47.8,first_review,2.09,1,0,0,active
3164138,کلبه دو طبقه در لفور سوادکوه,main,لفور,1,50,1,4,8,4.8,66,0,0,1,0,0,0,1,600000,6000000,استخراج شد,,شب اول بسته؛ شب دوم بسته,7,0.226,100,47.8,first_review,2.09,1,0,0,active
