شناسه,لینک_مستقیم,عنوان,روستا,روستا_مطمئن,دسته_پرونده,نوع_مبهم,نوع_کلبه_از_API,متراژ_بنا_م2,متراژ_زمین_م2,تعداد_اتاق_خواب,ظرفیت_پایه,ظرفیت_حداکثر,امتیاز_کلی,تعداد_نظرات_API,امتیاز_دقت,امتیاز_ارتباط,امتیاز_پاکیزگی,امتیاز_موقعیت,امتیاز_تحویل,امتیاز_ارزش,تاریخ_اولین_نظر,تاریخ_آخرین_نظر,نشان_ها,میزبان_نام,میزبان_عضویت_از,میزبان_نرخ_پذیرش_درصد,میزبان_زمان_پاسخ_دقیقه,حداقل_شب,حداکثر_شب,شرایط_لغو,ملک_دربست_یا_مشترک,هزینه_نفر_اضافه_تومان,جکوزی,محل_جکوزی,استخر,گرمایش_استخر,چشم_انداز_جنگل,چشم_انداز_رودخانه,حیاط_اختصاصی_محصور,حریم_خصوصی,حضور_میزبان_یا_واحد_دیگر,پارکینگ,کیفیت_مسیر,اینترنت_وای_فای,سرمایش,گرمایش,حیوان_خانگی,موقعیت_توضیح,طول_جغرافیایی,عرض_جغرافیایی,وضعیت_API,منابع_شناسایی
3146451,/room/3146451,کلبه چوبی دوبلکس در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,main,,کلبه، کلبه چوبی,60,1000,1,2,4,4.7,235,4.8,4.8,4.6,4.5,4.9,4.7,2019-07-03,2026-09-03,اقامتگاه پلاس؛ رزرو فوری؛ میزبان منظم؛ ویدیو دارد,فتحعلی,2019-06-20,100,84,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,ذکر شده,,,مستقر است,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,ذکر شده,دو دستگاه اسپلیت 12000,یک شعله بخاری گازی,پذیرش (قانون صریح),,52.7391,36.3549,active,corpus، db، sweep
3148363,/room/3148363,کلبه جنگلی بالکن دار در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,main,,کلبه، کلبه چوبی,42,1000,1,2,4,4.4,216,4.1,4.4,4.3,4.3,4.9,4.2,2019-10-03,2026-09-03,رزرو فوری؛ میزبان منظم؛ ویدیو دارد,فتحعلی,2019-06-20,100,84,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,ذکر شده,,,مستقر است,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,ذکر شده,یک دستگاه اسپلیت 12000 در طبقه پایین,یک شعله بخاری گازی,پذیرش (قانون صریح),,52.7391,36.3549,active,corpus، db، sweep
3149747,/room/3149747,کلبه دوبلکس در سیدکلا بابلکنار,سیدکلا,بله,main,,کلبه، اقامتگاه بوم‌گردی، سوئیت,56,6000,1,5,5,4.5,28,4.5,4.3,4.7,4.7,5,3.8,2019-12-23,2026-06-23,رزرو فوری؛ میزبان منظم؛ ویدیو دارد,میراحسان,2019-12-09,98,146,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),0,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه کولر اسپیلت ۱۲۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.783,36.3136,active,cabins، corpus، db، search، sweep
3151473,/room/3151473,کلبه چوبی و جنگلی در بابلکنار - تیرکن,تیرکن,بله,main,,کلبه، سوئیت، کلبه چوبی,70,700,1,5,7,4.9,45,4.9,5,4.7,4.9,5,4.8,2020-06-16,2026-09-02,اقامتگاه پلاس؛ میزبان منظم,محمد اسماعیل,2020-05-25,89,211,1,,متوسط,دربست,500000,,,,,,,ذکر شده,,,ذکر شده,,,یک دستگاه اسپلیت 12000 در اتاق خواب,یک شعله بخاری گازی در اتاق خواب,پذیرش (قانون صریح),,52.7317,36.273,active,corpus، db، sweep
3151648,/room/3151648,کلبه جنگلی در بابلکنار با ویو زیبا - کاردرکلا,کاردرکلا,بله,main,,کلبه، خانه روستایی,50,9999,1,3,4,4.7,155,4.8,4.9,4.2,4.7,5,4.4,2020-05-30,2026-09-01,ویدیو دارد,شهرام,2020-05-21,80,168,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,ذکر شده,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,,یک شعله بخاری گازی در پذیرایی و یک شعله در اتاق خواب,پذیرش (قانون صریح),,52.7663,36.3063,active,cabins، corpus، db، sweep
3152855,/room/3152855,کلبه چوبی با جکوزی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,main,,کلبه، سوئیت، کلبه چوبی,50,1000,0,2,2,4.8,137,4.6,5,4.8,4.7,5,4.8,2020-07-15,2026-08-30,اقامتگاه پلاس؛ میزبان منظم؛ ویدیو دارد,فتحعلی,2019-06-20,100,83,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),0,دارد,2 نفره,,,ذکر شده,,,مستقر است,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,ذکر شده,یک دستگاه اسپلیت 12000,یک شعله بخاری گازی,پذیرش (قانون صریح),,52.7391,36.3549,active,corpus، db، sweep
3153216,/room/3153216,کلبه جنگلی استخردار در کاردکلا بابلکنار - کلبه ۲,کاردرکلا,بله,main,,کلبه، ویلا، کلبه چوبی,75,400,1,3,6,4.8,32,4.8,5,4.6,4.7,5,4.7,2020-08-26,2026-08-24,اقامتگاه پلاس,کاظم,2020-08-13,93,232,1,,سخت,دربست,700000,,,دارد,,,,ذکر شده,دنج و سرسبز در جاده لفور در روستای خوش آب و هوای کاردرکلا با فا,,ذکر شده,,,یک دستگاه اسپلیت 18000 در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7711,36.301,active,cabins، corpus، db، sweep
3153254,/room/3153254,کلبه جنگلی نزدیک لفور - افراسی,لفور,بله,main,,کلبه، کلبه چوبی,70,140,1,5,8,4.3,51,4.7,4.3,3.3,4.7,4.8,4.2,2020-08-26,2026-08-26,,محمد,2020-08-16,89,280,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),950000,,,,,ذکر شده,,,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,کولر گازی پنجره ای 24000 در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7206,36.2549,active,corpus
3154396,/room/3154396,کلبه چوبی جکوزی دار در بابلکنار,شیردارکلا,بله,main,,کلبه، کلبه چوبی,70,1000,0,4,5,4.7,29,4.8,4.8,4.5,4.6,5,4.4,2021-06-10,2025-08-30,,علیرضا,2019-10-06,100,392,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),800000,دارد,4 نفره,,,ذکر شده,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,اسپیلت 18000 در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7733,36.3395,active,cabins، corpus، db، sweep
3157431,/room/3157431,کلبه چوبی جنگلی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,بله,main,,کلبه، کلبه چوبی,30,1000,0,2,3,4.7,285,4.7,4.9,4.4,4.7,5,4.7,2021-06-19,2026-09-01,اقامتگاه پلاس؛ رزرو فوری؛ میزبان منظم؛ ویدیو دارد,فتحعلی,2019-06-20,100,83,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),300000,,,,,ذکر شده,,,مستقر است,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,ذکر شده,یک دستگاه اسپلیت 12000,یک شعله بخاری گازی,پذیرش (قانون صریح),,52.7391,36.3549,active,corpus، db، sweep
3161999,/room/3161999,رزرو کلبه چوبی دوبلکس در بابلکنار - گونه کلا,گونه کلا,بله,main,,کلبه,80,1000,1,6,6,4.5,5,4.4,5,4.4,4.2,4.8,4.2,2022-05-04,2025-09-17,,پویا,2022-01-16,39,308,1,,متوسط,دربست,1000000,دارد,دو نفره,,,,ذکر شده,ذکر شده,,,ذکر شده,,,,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7856,36.3348,active,cabins، db، sweep
3162290,/room/3162290,رزرو کلبه جنگلی در بابلکنار - جاجن,بابلکنار,نامطمئن,main,,کلبه، خانه روستایی,60,500,1,2,4,5,2,5,5,5,5,5,5,2024-05-01,2026-08-26,,حامد,2022-02-01,50,405,1,,سخت,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,ذکر شده,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,,دو شعله بخاری گازی در اتاق ها,پذیرش (قانون صریح),,52.709,36.2987,active,db، sweep
3164126,/room/3164126,منزل مبله در لفور سوادکوه,لفور,بله,main,بله - عنوان هم کلبه هم ویلا,کلبه، خانه روستایی,150,2000,3,4,18,4.9,96,4.9,5,4.8,5,5,4.8,2022-09-14,2026-08-30,اقامتگاه پلاس,محمد,2022-06-05,90,267,1,,سخت,مشترک (فضای مشترک با میزبان یا مهمان دیگر),600000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه کولر اسپلیت 24000 در پذیرایی و یک دستگاه اسپلیت 12000 در یک اتاق خواب,یک شعله بخاری گازی در پذیرایی و یک شعله بخاری گازی در هر اتاق خواب ها,پذیرش (قانون صریح),,52.8246,36.23,active,corpus
3164138,/room/3164138,کلبه دو طبقه در لفور سوادکوه,لفور,بله,main,,کلبه,50,2000,1,4,8,4.8,66,4.9,4.9,4.6,5,4.9,4.7,2022-09-14,2026-09-04,اقامتگاه پلاس,محمد,2022-06-05,90,267,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),600000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک اسپلیت ۱۲ هزار در طبقه بالاو یک اسپلیت ۱۲۰۰۰ در طبقه همکف وجود دارد,یک شعله بخاری گازی در پذیرایی و یک شعله بخاری گازی در اتاق خواب,پذیرش (قانون صریح),,52.8246,36.2291,active,corpus
3164283,/room/3164283,کلبه چوبی در بابلکنار - مرزیکلا,مرزیکلا,بله,main,,کلبه، کلبه چوبی,42,800,0,5,5,4.3,1,5,5,4,4,4,4,2022-08-31,2022-08-31,,اسمعیل,2020-08-20,100,364,1,,سخت,مشترک (فضای مشترک با میزبان یا مهمان دیگر),400000,,,,,,,ذکر شده,مستقر است,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,اسپیلت 18000 در پذیرایی,اسپیلت 18000 در پذیرایی,پذیرش (قانون صریح),,52.7366,36.3596,active,db، sweep
