شناسه,لینک_مستقیم,عنوان,روستا,روستا_مطمئن,دسته_پرونده,نوع_مبهم,نوع_کلبه_از_API,متراژ_بنا_م2,متراژ_زمین_م2,تعداد_اتاق_خواب,ظرفیت_پایه,ظرفیت_حداکثر,امتیاز_کلی,تعداد_نظرات_API,امتیاز_دقت,امتیاز_ارتباط,امتیاز_پاکیزگی,امتیاز_موقعیت,امتیاز_تحویل,امتیاز_ارزش,تاریخ_اولین_نظر,تاریخ_آخرین_نظر,نشان_ها,میزبان_نام,میزبان_عضویت_از,میزبان_نرخ_پذیرش_درصد,میزبان_زمان_پاسخ_دقیقه,حداقل_شب,حداکثر_شب,شرایط_لغو,ملک_دربست_یا_مشترک,هزینه_نفر_اضافه_تومان,جکوزی,محل_جکوزی,استخر,گرمایش_استخر,چشم_انداز_جنگل,چشم_انداز_رودخانه,حیاط_اختصاصی_محصور,حریم_خصوصی,حضور_میزبان_یا_واحد_دیگر,پارکینگ,کیفیت_مسیر,اینترنت_وای_فای,سرمایش,گرمایش,حیوان_خانگی,موقعیت_توضیح,طول_جغرافیایی,عرض_جغرافیایی,وضعیت_API,منابع_شناسایی
3149749,/room/3149749,سوئیت در سیدکلا بابلکنار - همکف,سیدکلا,بله,other,,کلبه، اقامتگاه بوم‌گردی، سوئیت,40,6000,0,4,4,4.6,20,4.8,4.5,4,4.5,5,4.5,2020-08-19,2026-06-23,اقامتگاه پلاس؛ رزرو فوری؛ میزبان منظم؛ ویدیو دارد,میراحسان,2019-12-09,98,146,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),0,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,یک دستگاه اسپلیت ۱۲۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7827,36.3134,active,cabins، db، search، sweep
3150936,/room/3150936,خانه روستایی جنگلی در بابلکنار - جاجن - ط۲,بابلکنار,نامطمئن,other,,آپارتمان، خانه روستایی,60,800,0,2,6,4.1,9,4.2,4.2,4,4.1,4.2,3.7,2021-11-17,2026-03-23,,علی,2020-06-11,56,597,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),400000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),,,,یک دستگاه کولر اسپیلت 12000 در پذیرایی,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7038,36.2954,active,db
3156478,/room/3156478,رزرو سوئیت جنگلی در بابلکنار - گونه کلا,گونه کلا,بله,other,,سوئیت,60,6000,1,2,6,,0,,,,,,,,,,بهادر,2021-04-26,8,109,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,,,,مست حدود ۴۵ کیلومتر و تا روستای زیبای آلاشت نیز حدود ۶۵ کیلومتر,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,,یک شعله بخاری گازی در پذیرایی,پذیرش (قانون صریح),,52.7787,36.3357,active,cabins، db
3157383,/room/3157383,ویلا با جکوزی در سوادکوه - شیردارکلا,شیردارکلا,بله,other,,ویلا,260,550,3,6,15,4.6,25,4.8,5,4.2,4.8,4.8,4,2021-07-28,2026-06-17,اقامتگاه پلاس؛ لوکس,کاوه,2021-06-07,79,153,1,,سخت,دربست,1500000,دارد,6 نفره,,,ذکر شده,,,,,ذکر شده,,,یک دستگاه اسپیلت ۳۰۰۰۰ در پذیرایی طبقه بالا و پایین,یک شعله بخاری گازی در پذیرایی طبقه بالا و پایین و یک بخاری برقی در اتاق خواب طبقه پایین و یک دستگاه بخاری برقی در یک اتاق خواب طبقه بالا,پذیرش (قانون صریح),,52.7751,36.3377,active,cabins، db
3158858,/room/3158858,خانه روستایی در بابلکنار - رئیس کلا,رئیسکلا,بله,other,,خانه روستایی,36,70,1,4,6,4.9,130,4.9,5,5,4.8,5,5,2021-10-06,2026-09-01,اقامتگاه پلاس,عزیزاله,2021-10-03,93,238,1,,متوسط,دربست,200000,,,,,,,ذکر شده,مست نیز حدود ۴۵ کیلومتر می باشد,,ذکر شده,,,یک دستگاه اسپیلت در پذیرایی,دو شعله بخاری گازی در پذیرایی و اتاق خواب,پذیرش (قانون صریح),,52.7426,36.3713,active,db
3162698,/room/3162698,اجاره خانه روستایی در بابل - درازکلا,درازکلا,بله,other,,ویلا,80,3000,1,4,8,4.6,7,4.9,5,3.6,4.6,5,4.9,2022-04-29,2026-04-06,رزرو فوری,حسین,2022-02-19,94,450,1,,متوسط,دربست,500000,,,,,ذکر شده,,,دنج با حیاط ۳۰۰۰ متری در روستای یکشوب درازکلا واقع شده است,,ذکر شده,,,اسپلیت ۱۸ هزار موجود است.,بخاری گازی و بخاری برقی موجود است.,پذیرش (قانون صریح),,52.6825,36.3306,active,db
3168264,/room/3168264,رزرو خانه روستایی در لفور سوادکوه - امام کلا,لفور,بله,other,,کلبه، خانه روستایی,100,1000,1,4,8,4.7,31,4.7,4.7,4.3,4.8,5,4.6,2022-07-07,2026-06-02,اقامتگاه پلاس,سبحان,2022-06-01,72,238,1,,متوسط,مشترک (فضای مشترک با میزبان یا مهمان دیگر),500000,,,,,,,ذکر شده,,مشترک (فضای مشترک با میزبان یا مهمان دیگر),ذکر شده,,,,یک شعله بخاری گازی در پذیرایی و یک شعله بخاری گازی در اتاق خواب,پذیرش (قانون صریح),,52.7015,36.1947,active,corpus
3169804,/room/3169804,اجاره ویلا استخردار در بابلکنار,بابلکنار,نامطمئن,other,,ویلا,120,200,2,4,10,4.7,96,4.7,4.8,4.5,4.8,4.8,4.3,2022-08-03,2026-05-27,اقامتگاه پلاس,سید ابراهیم,2022-07-26,93,319,1,,سخت,دربست,800000,,,دارد,,,,ذکر شده,دنج و آرام از روستای گونه کلا و با فاصله حدود ۱۱ کیلومتری از مر,,ذکر شده,,,سالن پذیرایی یک اسپلیت ۲۴۰۰۰ دارد.,سالن پذیرایی و دو اتاق خواب هر کدام یک بخاری گازی دارند و استخر به گرمایش از کف مجهز است.,پذیرش (قانون صریح),,52.7853,36.334,active,db
3177219,/room/3177219,خانه ویلایی در بابلکنار - درازکلا,درازکلا,بله,other,,خانه روستایی، ویلا,60,200,1,2,4,4.5,30,4.1,4.8,4.3,4.1,4.9,4.6,2023-02-08,2026-09-01,,مهدی,2022-10-04,100,179,1,,متوسط,دربست,200000,,,,,ذکر شده,,ذکر شده,,,ذکر شده,,ذکر شده,یک دستگاه اسپیلت ۱۲۰۰۰ در پذیرایی و اتاق خواب موجود در حیاط,بخاری گازی,پذیرش (قانون صریح),,52.7031,36.3087,active,db
3178910,/room/3178910,ویلا استخردار در بابلکنار - سیدکلا,سیدکلا,بله,other,,ویلا,200,700,2,6,9,4.8,40,4.6,4.9,4.6,4.9,5,4.5,2022-11-16,2026-06-22,اقامتگاه پلاس؛ رزرو فوری,محمد,2022-11-07,100,177,1,,متوسط,دربست,700000,,,دارد,استخر آبگرم در یک ساختمان دو طبقه و در روستای خوش آ,,,ذکر شده,,,ذکر شده,,,یک دستگاه اسپلیت ۳۰۰۰۰ در پذیرایی,یک شعله بخاری گازی در پذیرایی، یک شعله بخاری گازی در هر دو اتاق خواب,پذیرش (قانون صریح),,52.783,36.3126,active,cabins، db
