شناسه,عنوان,روستا,بازه,تاریخ_چک_این,تاریخ_چک_اوت,تعداد_شب,مهمان,قیمت_شب_اول,تخفیف_شب_اول_درصد,قیمت_شب_دوم,تخفیف_شب_دوم_درصد,جمع_قبل_تخفیف,تخفیف_کل,قیمت_نهایی_دو_شب,هزینه_نفر_اضافه_تومان,ظرفیت_پایه,ظرفیت_حداکثر,یادداشت_ظرفیت,وضعیت_قیمت,تاریخ_استخراج
3146451,کلبه چوبی دوبلکس در بابلکنار - نزدیک مرزیکلا,مرزیکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,1400000,0,1400000,0,2800000,0,2800000,300000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:07:42
3146451,کلبه چوبی دوبلکس در بابلکنار - نزدیک مرزیکلا,مرزیکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,1600000,0,1600000,0,3200000,0,3200000,300000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:07:42
3148363,کلبه جنگلی بالکن دار در بابلکنار - نزدیک مرزیکلا,مرزیکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,1300000,0,1300000,0,2600000,0,2600000,300000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:07:46
3148363,کلبه جنگلی بالکن دار در بابلکنار - نزدیک مرزیکلا,مرزیکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,1500000,0,1500000,0,3000000,0,3000000,300000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:07:46
3149747,کلبه دوبلکس در سیدکلا بابلکنار,سیدکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2500000,0,2500000,0,5000000,0,5000000,0,5,5,,استخراج شد,2026-09-08T18:07:48
3149747,کلبه دوبلکس در سیدکلا بابلکنار,سیدکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,3500000,0,3500000,0,7000000,0,7000000,0,5,5,,استخراج شد,2026-09-08T18:07:48
3151473,کلبه چوبی و جنگلی در بابلکنار - تیرکن,تیرکن,وسط_هفته,2026-09-19,2026-09-20,2,4,3000000,0,3000000,0,6000000,0,6000000,500000,5,7,,استخراج شد,2026-09-08T18:08:03
3151473,کلبه چوبی و جنگلی در بابلکنار - تیرکن,تیرکن,آخر_هفته,2026-09-16,2026-09-17,2,4,3800000,0,3800000,0,7600000,0,7600000,500000,5,7,,استخراج شد,2026-09-08T18:08:03
3151648,کلبه جنگلی با ویو زیبا,کاردرکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2000000,0,2000000,0,4000000,0,4000000,300000,3,4,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:05
3151648,کلبه جنگلی با ویو زیبا,کاردرکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,2000000,0,2900000,0,,,,300000,3,4,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,شب اول بسته,2026-09-08T18:08:05
3152855,کلبه چوبی با جکوزی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2000000,0,2000000,0,4000000,0,4000000,0,2,2,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:10
3152855,کلبه چوبی با جکوزی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,2500000,0,2500000,0,5000000,0,5000000,0,2,2,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:10
3153216,کلبه جنگلی استخردار - کلبه ۲,کاردرکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,4500000,0,4500000,0,9000000,0,9000000,700000,3,6,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:12
3153216,کلبه جنگلی استخردار - کلبه ۲,کاردرکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,5300000,0,5300000,0,10600000,0,10600000,700000,3,6,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:12
3153254,کلبه جنگلی نزدیک لفور - افراسی,لفور,وسط_هفته,2026-09-19,2026-09-20,2,4,3950000,0,3950000,0,7900000,0,7900000,950000,5,8,,استخراج شد,2026-09-08T18:08:13
3153254,کلبه جنگلی نزدیک لفور - افراسی,لفور,آخر_هفته,2026-09-16,2026-09-17,2,4,3950000,0,4950000,0,8900000,0,8900000,950000,5,8,,استخراج شد,2026-09-08T18:08:13
3154396,کلبه چوبی جکوزی دار,شیردارکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,5280000,0,5280000,0,10560000,0,10560000,800000,4,5,,استخراج شد,2026-09-08T18:08:15
3154396,کلبه چوبی جکوزی دار,شیردارکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,7980000,0,7980000,0,15960000,0,15960000,800000,4,5,,استخراج شد,2026-09-08T18:08:15
3157431,کلبه چوبی جنگلی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,1300000,0,1300000,0,2600000,0,2600000,300000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:20
3157431,کلبه چوبی جنگلی در بابلکنار - نزدیک مرزیکلا,مرزیکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,1500000,0,1500000,0,3000000,0,3000000,300000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:20
3161999,رزرو کلبه چوبی دوبلکس,گونه کلا,وسط_هفته,2026-09-19,2026-09-20,2,4,3680000,0,3680000,0,7360000,0,7360000,1000000,6,6,,استخراج شد,2026-09-08T18:08:25
3161999,رزرو کلبه چوبی دوبلکس,گونه کلا,آخر_هفته,2026-09-16,2026-09-17,2,4,5950000,0,5950000,0,,,,1000000,6,6,,شب اول بسته؛ شب دوم بسته,2026-09-08T18:08:25
3162290,رزرو کلبه جنگلی در بابلکنار - جاجن,بابلکنار,وسط_هفته,2026-09-19,2026-09-20,2,4,1205000,0,1205000,0,2410000,0,2410000,500000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:27
3162290,رزرو کلبه جنگلی در بابلکنار - جاجن,بابلکنار,آخر_هفته,2026-09-16,2026-09-17,2,4,1325000,0,1800000,0,3125000,0,3125000,500000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:08:27
3164126,منزل مبله در لفور سوادکوه,لفور,وسط_هفته,2026-09-19,2026-09-20,2,4,4000000,0,4000000,0,,,,600000,4,18,,شب اول بسته؛ شب دوم بسته,2026-09-08T18:08:56
3164126,منزل مبله در لفور سوادکوه,لفور,آخر_هفته,2026-09-16,2026-09-17,2,4,4000000,0,4000000,0,,,,600000,4,18,,شب اول بسته؛ شب دوم بسته,2026-09-08T18:08:56
3164138,کلبه دو طبقه در لفور سوادکوه,لفور,وسط_هفته,2026-09-19,2026-09-20,2,4,3000000,0,3000000,0,6000000,0,6000000,600000,4,8,,استخراج شد,2026-09-08T18:08:58
3164138,کلبه دو طبقه در لفور سوادکوه,لفور,آخر_هفته,2026-09-16,2026-09-17,2,4,3000000,0,3000000,0,,,,600000,4,8,,شب اول بسته؛ شب دوم بسته,2026-09-08T18:08:58
3164283,کلبه چوبی در بابلکنار - مرزیکلا,مرزیکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,4000000,10,4000000,10,8000000,800000,7200000,400000,5,5,,استخراج شد,2026-09-08T18:09:01
3164283,کلبه چوبی در بابلکنار - مرزیکلا,مرزیکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,4000000,10,4000000,10,8000000,800000,7200000,400000,5,5,,استخراج شد,2026-09-08T18:09:01
3164584,کلبه سوئیسی جکوزی دار در سوادکوه,,وسط_هفته,2026-09-19,2026-09-20,2,4,2800000,0,2800000,0,,,,900000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,شب دوم بسته,2026-09-08T18:09:04
3164584,کلبه سوئیسی جکوزی دار در سوادکوه,,آخر_هفته,2026-09-16,2026-09-17,2,4,3000000,0,3500000,0,,,,900000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,شب اول بسته؛ شب دوم بسته,2026-09-08T18:09:04
3165107,اجاره کلبه جنگلی,کاردرکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2000000,0,2000000,0,4000000,0,4000000,300000,3,4,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:09:06
3165107,اجاره کلبه جنگلی,کاردرکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,2500000,0,2500000,0,5000000,0,5000000,300000,3,4,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:09:06
3165298,اجاره خانه دوبلکس در بابلکنار - چهره,چهره,وسط_هفته,2026-09-19,2026-09-20,2,4,2700000,0,2700000,0,5400000,0,5400000,400000,3,4,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:09:09
3165298,اجاره خانه دوبلکس در بابلکنار - چهره,چهره,آخر_هفته,2026-09-16,2026-09-17,2,4,3000000,0,3000000,0,,,,400000,3,4,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,شب دوم بسته,2026-09-08T18:09:09
3168158,کلبه چوبی دوبلکس در بابلکنار - رئیس کلا,رئیسکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2200000,0,2200000,0,4400000,0,4400000,250000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:09:11
3168158,کلبه چوبی دوبلکس در بابلکنار - رئیس کلا,رئیسکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,2500000,0,2500000,0,,,,250000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,شب دوم بسته,2026-09-08T18:09:11
3169828,کلبه چوبی در بابلکنار - تیرکن,تیرکن,وسط_هفته,2026-09-19,2026-09-20,2,4,2500000,0,2500000,0,5000000,0,5000000,300000,3,3,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:07
3169828,کلبه چوبی در بابلکنار - تیرکن,تیرکن,آخر_هفته,2026-09-16,2026-09-17,2,4,3300000,0,3300000,0,6600000,0,6600000,300000,3,3,ظرفیت پایه 3 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:07
3172176,کلبه سوئیسی با جکوزی در بابلکنار - هلی خال,بابلکنار,وسط_هفته,2026-09-19,2026-09-20,2,4,3000000,0,3000000,0,6000000,0,6000000,300000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:10
3172176,کلبه سوئیسی با جکوزی در بابلکنار - هلی خال,بابلکنار,آخر_هفته,2026-09-16,2026-09-17,2,4,3500000,0,4000000,0,7500000,0,7500000,300000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:10
3173430,خانه چوبی دو طبقه با چشم انداز دریاچه لفور,لفور,وسط_هفته,2026-09-19,2026-09-20,2,4,4200000,0,4200000,0,8400000,0,8400000,0,2,2,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:12
3173430,خانه چوبی دو طبقه با چشم انداز دریاچه لفور,لفور,آخر_هفته,2026-09-16,2026-09-17,2,4,4200000,0,4200000,0,8400000,0,8400000,0,2,2,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:12
3173539,اجاره کلبه چوبی جنگلی,کاردرکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2000000,0,2000000,0,4000000,0,4000000,300000,4,4,,استخراج شد,2026-09-08T18:10:13
3173539,اجاره کلبه چوبی جنگلی,کاردرکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,2500000,0,2900000,0,5400000,0,5400000,300000,4,4,,استخراج شد,2026-09-08T18:10:13
3174191,کلبه چوبی جکوزی دار در بابلکنار - اطلس ۱,بابلکنار,وسط_هفته,2026-09-19,2026-09-20,2,4,3200000,0,3200000,0,6400000,0,6400000,500000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:39
3174191,کلبه چوبی جکوزی دار در بابلکنار - اطلس ۱,بابلکنار,آخر_هفته,2026-09-16,2026-09-17,2,4,3200000,0,4800000,0,8000000,0,8000000,500000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:39
3174226,کلبه چوبی در بابلکنار - مرزیکلا - اطلس ۲,مرزیکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,3300000,0,3300000,0,6600000,0,6600000,500000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:40
3174226,کلبه چوبی در بابلکنار - مرزیکلا - اطلس ۲,مرزیکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,3500000,0,4900000,0,8400000,0,8400000,500000,2,4,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:10:40
3174812,اجاره کلبه سوئیسی در بابلکنار - چهره,چهره,وسط_هفته,2026-09-19,2026-09-20,2,4,2500000,0,2500000,0,,,,250000,2,6,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,شب اول بسته؛ شب دوم بسته,2026-09-08T18:10:43
3174812,اجاره کلبه سوئیسی در بابلکنار - چهره,چهره,آخر_هفته,2026-09-16,2026-09-17,2,4,2800000,0,3800000,0,,,,250000,2,6,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,شب اول بسته؛ شب دوم بسته,2026-09-08T18:10:43
3176224,کلبه سوئیسی استخردار,شیردارکلا,وسط_هفته,2026-09-19,2026-09-20,2,4,11800000,0,11800000,0,23600000,0,23600000,900000,4,5,,استخراج شد,2026-09-08T18:10:45
3176224,کلبه سوئیسی استخردار,شیردارکلا,آخر_هفته,2026-09-16,2026-09-17,2,4,12800000,0,12800000,0,25600000,0,25600000,900000,4,5,,استخراج شد,2026-09-08T18:10:45
3176328,رزرو کلبه چوبی دوبلکس در شیرگاه - گونه کلا,گونه کلا,وسط_هفته,2026-09-19,2026-09-20,2,4,2200000,0,2200000,0,4400000,0,4400000,300000,4,4,,استخراج شد,2026-09-08T18:10:47
3176328,رزرو کلبه چوبی دوبلکس در شیرگاه - گونه کلا,گونه کلا,آخر_هفته,2026-09-16,2026-09-17,2,4,3000000,0,3000000,0,6000000,0,6000000,300000,4,4,,استخراج شد,2026-09-08T18:10:47
3176580,کلبه سوئیسی جکوزی دار در بابلکنار - چهره,چهره,وسط_هفته,2026-09-19,2026-09-20,2,4,3620000,0,3620000,0,7240000,0,7240000,500000,2,3,ظرفیت پایه 2 نفر کمتر از 4 مهمان استخراج‌شده,استخراج شد,2026-09-08T18:11:13
